Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
IVC,Ivor1,16.99991681224524,1.8589006444184866,70.94997390423478,122.757,18.401,45,-2.3956567202148986,-2.0092747061084033
IVC,Ivor2,17.984848484848484,4.862188755668723,38.21736592573526,122.757,18.401,5.6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor3,14.99660441426146,3.228955947550831,8.436115979068338,122.757,18.401,12,-2.3956567202148986,-2.0092747061084033
IVC,Ivor4,19.967741935483872,6.146568199435713,0.7836833205003783,122.757,18.401,6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor5,32.99899006901195,8.416019663535348,8.165084125398737,122.757,18.401,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor6,13,1.0715327534668544,24.26227214491876,122.757,18.401,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor7,13.98828125,3.470365427321696,91.19802464622586,122.757,18.401,53.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor8,24.49898442789438,5.384975500609454,0.33733843509285877,122.757,18.401,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor9,6,0.8967381829774983,41.15777336286955,122.757,18.401,20,-2.3956567202148986,-2.0092747061084033
IVC,Ivor10,24.99729510413849,6.266676288397739,27.887902571967174,122.757,18.401,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor11,9,0.8982908434312593,19.040696341113904,122.757,18.401,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor12,11.99090909090909,2.1471022718033663,17.675222297028515,122.757,18.401,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor13,3,0,80.60427403576125,122.757,18.401,11,-2.3956567202148986,-2.0092747061084033
IVC,Ivor14,29.95774647887324,9.666967590551899,4.572418284282738,122.757,18.401,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor15,17,2.2317146994539203,1.4190513431405198,122.757,18.401,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor16,10,0.4563874113086514,25.87738526581048,122.757,18.401,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor17,6.499241274658574,1.4105997300769295,23.3366360345648,122.757,18.401,7,-2.3956567202148986,-2.0092747061084033
