Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
SWE;Swed6;4.499;3.453195033;20;38.133;1.611566707;0.091461245;1.481717439;9.783
SWE;Swed7;5;2.795658022;40;38.133;1.611566707;0.091461245;0.440844002;9.783
SWE;Swed8;13;117.0210463;10;38.133;1.611566707;0.091461245;0.58001003;9.783
SWE;Swed9;12.25;68.9847148;10;38.133;1.611566707;0.091461245;1.687472339;9.783
SWE;Swed10;16;74.7427541;10;38.133;1.611566707;0.091461245;0.430652879;9.783
SWE;Swed11;6;2.819280943;30;38.133;1.611566707;0.091461245;0.272659924;9.783
SWE;Swed12;3;0.960897048;40;38.133;1.611566707;0.091461245;0.171446608;9.783
SWE;Swed13;7;6.415626424;25;38.133;1.611566707;0.091461245;0.882557458;9.783
SWE;Swed14;5;23.58010348;15;38.133;1.611566707;0.091461245;0;9.783
SWE;Swed15;4;0.542127116;15;38.133;1.611566707;0.091461245;0.468826172;9.783
SWE;Swed16;11.994;2.231507076;25;38.133;1.611566707;0.091461245;2.315709416;9.783
SWE;Swed18;6.244;0.147346248;30;38.133;1.611566707;0.091461245;1.854802517;9.783
SWE;Swed19;10;1.635083622;20;38.133;1.611566707;0.091461245;0.662467798;9.783
SWE;Swed20;9.496;2.539721942;20;38.133;1.611566707;0.091461245;1.48262579;9.783
SWE;Swed21;12;3.145281732;15;38.133;1.611566707;0.091461245;0.719453397;9.783
FRA;Fran1;6;0.922376501;21;36.619;0.971672129;-0.250732004;0.2564324;8.595
FRA;Fran2;8;6.575887842;4;36.619;0.971672129;-0.250732004;0.530728079;8.595
FRA;Fran3;8;41.58603111;17;36.619;0.971672129;-0.250732004;0.757037055;8.595
FRA;Fran4;6.498;60.9959795;2.5;36.619;0.971672129;-0.250732004;1.543507666;8.595
FRA;Fran5;3;11.18628916;10;36.619;0.971672129;-0.250732004;0;8.595
FRA;Fran6;8.991;63.22950344;8;36.619;0.971672129;-0.250732004;1.427944861;8.595
FRA;Fran7;4;28.11925653;4;36.619;0.971672129;-0.250732004;0.532017125;8.595
FRA;Fran8;6;7.628340358;11.5;36.619;0.971672129;-0.250732004;0.299820343;8.595
FRA;Fran9;7.248;22.82290695;11.5;36.619;0.971672129;-0.250732004;1.885570058;8.595
FRA;Fran10;17.96;2.697094357;7.5;36.619;0.971672129;-0.250732004;4.90372764;8.595
FRA;Fran11;6.913;2.452727173;7;36.619;0.971672129;-0.250732004;1.908034852;8.595
FRA;Fran12;3.488;3.738575677;2;36.619;0.971672129;-0.250732004;1.244593659;8.595
FRA;Fran13;6;34.3659937;14;36.619;0.971672129;-0.250732004;0.923084215;8.595
FRA;Fran14;4;2.762465756;9.5;36.619;0.971672129;-0.250732004;0.479372485;8.595
FRA;Fran15;3;5.874539908;7;36.619;0.971672129;-0.250732004;0;8.595
FRA;Fran16;9.249;53.84594295;5;36.619;0.971672129;-0.250732004;1.779887862;8.595
FRA;Fran17;17.929;29.77725597;4;36.619;0.971672129;-0.250732004;5.783203871;8.595
FRA;Fran18;14.995;1.3143026;17;36.619;0.971672129;-0.250732004;2.811404562;8.595
FRA;Fran19;9;2.594746726;22;36.619;0.971672129;-0.250732004;0.314466038;8.595
FRA;Fran22;12;7.131117639;12.5;36.619;0.971672129;-0.250732004;2.003844651;8.595
USA;App1;4;2.766015496;31.5;13.16;1.722636396;-1.704810037;0.307262297;0.52
USA;App2;4;6.339932623;4;13.16;1.722636396;-1.704810037;0.171446608;0.52
USA;App3;5;33.5529278;3.5;13.16;1.722636396;-1.704810037;0.2564324;0.52
USA;App4;6;9.613517063;7;13.16;1.722636396;-1.704810037;0.482233719;0.52
USA;App5;4;1.044495373;23;13.16;1.722636396;-1.704810037;0;0.52
USA;App6;5;4.026656369;8.5;13.16;1.722636396;-1.704810037;0.433723356;0.52
USA;App7;5;4.48839243;9;13.16;1.722636396;-1.704810037;0.464823199;0.52
USA;App8;4;4.979815987;9.5;13.16;1.722636396;-1.704810037;0;0.52
USA;App9;12.838;13.17856189;7;13.16;1.722636396;-1.704810037;5.224301106;0.52
USA;App10;6.5;46.90763382;8;13.16;1.722636396;-1.704810037;1.348923405;0.52
USA;App11;5;2.773904433;12.5;13.16;1.722636396;-1.704810037;0.1;0.52
USA;App12;5;14.50689612;5.5;13.16;1.722636396;-1.704810037;0.287623491;0.52
USA;App13;4;2.286547165;9;13.16;1.722636396;-1.704810037;0;0.52
USA;App14;5;14.43094884;;13.16;1.722636396;-1.704810037;0.492365964;0.52
USA;App15;2;0.265734069;2;13.16;1.722636396;-1.704810037;0.326598632;0.52
USA;App16;2;4.266129303;5;13.16;1.722636396;-1.704810037;0;0.52
USA;App17;2;3.895298387;6;13.16;1.722636396;-1.704810037;0;0.52
USA;App18;12.499;9.295474283;10.5;13.16;1.722636396;-1.704810037;4.808657019;0.52
USA;App19;3;8.450894985;11;13.16;1.722636396;-1.704810037;0.1;0.52
USA;App20;4.49;11.55845941;17.5;13.16;1.722636396;-1.704810037;1.386960924;0.52
USA;App21;5.5;7.04556401;13.5;13.16;1.722636396;-1.704810037;1.444715087;0.52
USA;App22;6;15.38408825;7;13.16;1.722636396;-1.704810037;0.700141474;0.52
USA;App23;4.25;1.49985458;14;13.16;1.722636396;-1.704810037;1.725938465;0.52
USA;App24;4.997;0.650200811;42;13.16;1.722636396;-1.704810037;0.458381431;0.52
KOR;Kor1;6;11.76718659;15;33.044;-0.011807106;-0.093748636;0.149549596;4.752
KOR;Kor2;4;5.12301362;5.5;33.044;-0.011807106;-0.093748636;0.367970869;4.752
KOR;Kor3;4;6.210106022;24;33.044;-0.011807106;-0.093748636;0.500757302;4.752
KOR;Kor4;3;0.398448024;24;33.044;-0.011807106;-0.093748636;0.563960507;4.752
KOR;Kor5;8;4.868891479;27.5;33.044;-0.011807106;-0.093748636;0.663466222;4.752
KOR;Kor6;5.496;0.052198066;37;33.044;-0.011807106;-0.093748636;1.26725223;4.752
KOR;Kor7;5;1.712199264;31;33.044;-0.011807106;-0.093748636;0.49431107;4.752
KOR;Kor8;7;6.986019712;31;33.044;-0.011807106;-0.093748636;0.699417822;4.752
KOR;Kor9;7.499;13.39326621;17;33.044;-0.011807106;-0.093748636;1.243464453;4.752
KOR;Kor10;11.472;0.438796985;27;33.044;-0.011807106;-0.093748636;4.20228689;4.752
KOR;Kor11;9;0.162210016;25.5;33.044;-0.011807106;-0.093748636;0.390229052;4.752
KOR;Kor12;11.992;0.208079832;34;33.044;-0.011807106;-0.093748636;3.078736781;4.752
KOR;Kor14;8;33.41260492;32;33.044;-0.011807106;-0.093748636;0.94244539;4.752
KOR;Kor15;7.5;16.23822559;10;33.044;-0.011807106;-0.093748636;1.449049599;4.752
KOR;Kor16;4;0.151992684;23;33.044;-0.011807106;-0.093748636;0.476764867;4.752
KOR;Kor17;5;10.69801643;23;33.044;-0.011807106;-0.093748636;0;4.752
KOR;Kor18;5;3.93841171;24;33.044;-0.011807106;-0.093748636;0;4.752
KOR;Kor19;3.499;13.70212199;4.5;33.044;-0.011807106;-0.093748636;1.439265358;4.752
KOR;Kor20;6;10.9473955;21;33.044;-0.011807106;-0.093748636;0.290193075;4.752
KOR;Kor21;6;1.166131459;28;33.044;-0.011807106;-0.093748636;0.487831731;4.752
KOR;Kor22;13.166;0.349980459;37;33.044;-0.011807106;-0.093748636;3.074216576;4.752
KOR;Kor23;15.492;6.184831084;21;33.044;-0.011807106;-0.093748636;4.443124165;4.752
KOR;Kor24;39.473;1.914363481;18;33.044;-0.011807106;-0.093748636;15.82182912;4.752
KOR;Kor25;6;9.509209652;22;33.044;-0.011807106;-0.093748636;0;4.752
KOR;Kor26;7.499;11.09170893;25.7;33.044;-0.011807106;-0.093748636;1.343027184;4.752
KOR;Kor27;8;0.135253364;34;33.044;-0.011807106;-0.093748636;0.855671916;4.752
KOR;Kor28;14.982;1.00126192;38;33.044;-0.011807106;-0.093748636;4.124343674;4.752
KOR;Kor29;10.495;3.694819069;18.2;33.044;-0.011807106;-0.093748636;3.867096357;4.752
KOR;Kor30;6;4.694346075;18.2;33.044;-0.011807106;-0.093748636;0.280641768;4.752
KOR;Kor31;15.243;1.669240295;26;33.044;-0.011807106;-0.093748636;4.839048739;4.752
KOR;Kor32;8;1.83806253;22;33.044;-0.011807106;-0.093748636;0.238338497;4.752
KOR;Kor33;11.998;1.161481098;19;33.044;-0.011807106;-0.093748636;2.171688734;4.752
KOR;Kor34;19.99;2.740545931;16;33.044;-0.011807106;-0.093748636;5.795200165;4.752
KOR;Kor35;23.483;1.876022391;18;33.044;-0.011807106;-0.093748636;8.523949765;4.752
SWA;Soz1;40.999;1.514134526;38;69.471;-0.275988133;1.027243307;9.964133836;9.978
SWA;Soz2;28.997;0.544626351;15;69.471;-0.275988133;1.027243307;6.068994993;9.978
SWA;Soz3;17.663;0.380984318;7;69.471;-0.275988133;1.027243307;3.282985428;9.978
SWA;Soz4;23.249;0.965248746;3.7;69.471;-0.275988133;1.027243307;5.070639515;9.978
SWA;Soz5;30.666;0.906757625;29;69.471;-0.275988133;1.027243307;5.725843311;9.978
SWA;Soz6;23.999;1.463582186;13;69.471;-0.275988133;1.027243307;4.197876582;9.978
SWA;Soz7;20.166;1.128006059;7;69.471;-0.275988133;1.027243307;3.628855679;9.978
SWA;Soz8;14.499;2.394026658;2.2;69.471;-0.275988133;1.027243307;1.761741866;9.978
SWA;Soz9;30.999;0.63714834;26;69.471;-0.275988133;1.027243307;7.288452527;9.978
SWA;Soz10;15.499;1.087565991;8;69.471;-0.275988133;1.027243307;2.135994101;9.978
SWA;Soz11;32.245;1.026410552;26;69.471;-0.275988133;1.027243307;6.71100099;9.978
SWA;Soz12;19;1.956425945;12;69.471;-0.275988133;1.027243307;0.719713852;9.978
SWA;Soz13;24.5;2.846839936;21;69.471;-0.275988133;1.027243307;5.580662035;9.978
SWA;Soz14;18.999;2.720548429;7;69.471;-0.275988133;1.027243307;2.613736472;9.978
SWA;Soz16;17;13.71678625;8;69.471;-0.275988133;1.027243307;0.841418612;9.978
SWA;Soz17;30.999;3.007273993;13;69.471;-0.275988133;1.027243307;3.455460806;9.978
SWA;Soz18;20.998;1.078112888;9;69.471;-0.275988133;1.027243307;2.886487595;9.978
SWA;Soz19;21.5;2.178318467;11;69.471;-0.275988133;1.027243307;2.20876052;9.978
SWA;Soz20;18;2.985242204;9;69.471;-0.275988133;1.027243307;0.786357686;9.978
