Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
SWE;Swed11;6;2.819280943;30;34.25;1.611566707;0.091461245;0.342;13.02
SWE;Swed12;3;0.960897048;40;34.25;1.611566707;0.091461245;0.134;13.02
SWE;Swed13;5;5.322818655;25;34.25;1.611566707;0.091461245;0.528;13.02
SWE;Swed14;5;23.58010348;15;34.25;1.611566707;0.091461245;0.082;13.02
SWE;Swed15;4;0.542127116;15;34.25;1.611566707;0.091461245;0.482;13.02
SWE;Swed16;1.99;2.231507076;25;34.25;1.611566707;0.091461245;3.732;13.02
SWE;Swed18;6.24;0.147346248;30;34.25;1.611566707;0.091461245;0.715;13.02
SWE;Swed19;8;1.340746034;20;34.25;1.611566707;0.091461245;0.217;13.02
SWE;Swed20;7;0.614444099;20;34.25;1.611566707;0.091461245;0.369;13.02
SWE;Swed21;10;2.90658558;15;34.25;1.611566707;0.091461245;0.083;13.02
FRA;Fran1;4;0.64887276;21;18.263;0.971672129;-0.250732004;0;6.832
FRA;Fran2;5;4.553588514;4;18.263;0.971672129;-0.250732004;0.482;6.832
FRA;Fran3;6;41.51480068;17;18.263;0.971672129;-0.250732004;0.136;6.832
FRA;Fran4;3;42.53623532;2.5;18.263;0.971672129;-0.250732004;0.519;6.832
FRA;Fran5;1;0.384712996;10;18.263;0.971672129;-0.250732004;0.007;6.832
FRA;Fran6;4.99;61.90078383;8;18.263;0.971672129;-0.250732004;2.161;6.832
FRA;Fran7;1;0.384712996;4;18.263;0.971672129;-0.250732004;0.08;6.832
FRA;Fran8;2;5.370977139;11.5;18.263;0.971672129;-0.250732004;0;6.832
FRA;Fran9;2;2.868274644;11.5;18.263;0.971672129;-0.250732004;0.018;6.832
FRA;Fran10;5.99;0.260859348;7.5;18.263;0.971672129;-0.250732004;2.174;6.832
FRA;Fran11;1;0.287899838;7;18.263;0.971672129;-0.250732004;0.312;6.832
FRA;Fran12;1;0.043903815;2;18.263;0.971672129;-0.250732004;0.312;6.832
FRA;Fran13;3;0.516592061;14;18.263;0.971672129;-0.250732004;0.503;6.832
FRA;Fran14;2;2.274831554;9.5;18.263;0.971672129;-0.250732004;0;6.832
FRA;Fran16;5;52.63931619;5;18.263;0.971672129;-0.250732004;0.343;6.832
FRA;Fran17;7.97;27.24161126;4;18.263;0.971672129;-0.250732004;3.681;6.832
FRA;Fran18;12.99;1.108559977;17;18.263;0.971672129;-0.250732004;4.487;6.832
FRA;Fran19;5;1.368743803;22;18.263;0.971672129;-0.250732004;0.001;6.832
FRA;Fran22;6;4.84705049;12.5;18.263;0.971672129;-0.250732004;0;6.832
USA;App1;2;0.102002271;31.5;8.479;1.722636396;-1.704810037;0.018;1.276
USA;App2;3;5.598046817;4;8.479;1.722636396;-1.704810037;0.082;1.276
USA;App3;3;15.48839163;3.5;8.479;1.722636396;-1.704810037;0;1.276
USA;App4;3;0.315706176;7;8.479;1.722636396;-1.704810037;0.001;1.276
USA;App5;3;0.80894663;23;8.479;1.722636396;-1.704810037;0;1.276
USA;App6;3;0.435934595;8.5;8.479;1.722636396;-1.704810037;0.342;1.276
USA;App7;4;0.296737629;9;8.479;1.722636396;-1.704810037;0.483;1.276
USA;App8;3;4.794344535;9.5;8.479;1.722636396;-1.704810037;0;1.276
USA;App9;10.14;0.055859288;7;8.479;1.722636396;-1.704810037;6.042;1.276
USA;App10;4.5;9.000861453;8;8.479;1.722636396;-1.704810037;1.323;1.276
USA;App11;4;2.032018627;12.5;8.479;1.722636396;-1.704810037;0.089;1.276
USA;App12;3;4.165367223;5.5;8.479;1.722636396;-1.704810037;0;1.276
USA;App13;3;1.971245698;9;8.479;1.722636396;-1.704810037;0;1.276
USA;App14;3;13.98897898;;8.479;1.722636396;-1.704810037;0;1.276
USA;App15;1;0.000509893;2;8.479;1.722636396;-1.704810037;0.2;1.276
USA;App16;1;0.000285921;5;8.479;1.722636396;-1.704810037;0.049;1.276
USA;App17;1;0.000397907;6;8.479;1.722636396;-1.704810037;0.08;1.276
USA;App18;4;2.520378987;10.5;8.479;1.722636396;-1.704810037;0.5;1.276
USA;App19;1;0.046047267;11;8.479;1.722636396;-1.704810037;0;1.276
USA;App20;2;0.077804197;17.5;8.479;1.722636396;-1.704810037;0.336;1.276
USA;App21;3;2.574962355;13.5;8.479;1.722636396;-1.704810037;0.342;1.276
USA;App22;3;3.437065772;7;8.479;1.722636396;-1.704810037;0.343;1.276
USA;App23;2;0.661525461;14;8.479;1.722636396;-1.704810037;0.342;1.276
USA;App24;2;0.141082368;42;8.479;1.722636396;-1.704810037;0.482;1.276
KOR;Kor1;3;4.086115065;15;23.368;-0.011807106;-0.093748636;0.1;6.991
KOR;Kor2;2;3.842662463;5.5;23.368;-0.011807106;-0.093748636;0.134;6.991
KOR;Kor3;2;2.789153112;24;23.368;-0.011807106;-0.093748636;0.03;6.991
KOR;Kor4;3;0.398448024;24;23.368;-0.011807106;-0.093748636;0.498;6.991
