Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
IVC,Ivor1,9,0,65.06045295144806,26.407,2.864,45,-2.3956567202148986,-2.0092747061084033
IVC,Ivor2,5,0.4264147683828598,0.0599443704504588,26.407,2.864,5.6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor3,5,0,0.08454925762118003,26.407,2.864,12,-2.3956567202148986,-2.0092747061084033
IVC,Ivor4,6.497126436781609,1.2782503932205338,0.0012650671758140514,26.407,2.864,6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor5,6,0,0.7833962734832162,26.407,2.864,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor6,8,0.3907694590666213,0.19186877724519721,26.407,2.864,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor7,5,0.14070529413628988,43.54884972801924,26.407,2.864,53.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor8,8,0.46482319871173156,0.011189426098454369,26.407,2.864,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor9,0,0,0,26.407,2.864,20,-2.3956567202148986,-2.0092747061084033
IVC,Ivor10,4,0.4451985331237063,0.45572298155533486,26.407,2.864,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor11,8,0,2.1812679438409117,26.407,2.864,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor12,5,0.14070529413628988,13.923980092604696,26.407,2.864,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor13,3,0,2.185388412341543,26.407,2.864,11,-2.3956567202148986,-2.0092747061084033
IVC,Ivor14,1,0,4.506993033745515,26.407,2.864,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor15,4,0,0.23173214615908647,26.407,2.864,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor16,4,0,1.6127618447297773,26.407,2.864,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor17,10,0.49291737178435246,20.356678383052774,26.407,2.864,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor18,2,0,7.380947324363516,26.407,2.864,6.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor19,8.666270313119302,2.6902355604833654,0.43460437555141634,26.407,2.864,8.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor20,8,0,13.127240541382742,26.407,2.864,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor21,3,0,0.09926713375532303,26.407,2.864,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor22,3,0,0.07473069703565595,26.407,2.864,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor23,2,0.3144660377352202,101.55075485788264,26.407,2.864,2,-2.3956567202148986,-2.0092747061084033
IVC,Ivor24,9.99883923389437,2.263971222986945,0.6679050580907261,26.407,2.864,3,-2.3956567202148986,-2.0092747061084033
IVC,Ivor25,8,0.48241815132442206,7.56778750920642,26.407,2.864,2.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor26,4,0,0.8664153179861105,26.407,2.864,48,-2.3956567202148986,-2.0092747061084033
IVC,Ivor27,2,0,0.0779468147780674,26.407,2.864,4.5,-2.3956567202148986,-2.0092747061084033
SPN,Spain1,7,0,5.467713250167539,24.636,11.147,16.5,0.12488184913153122,0.04854250252023554
SPN,Spain2,6,0.3995950595744716,2.748348314697864,24.636,11.147,6.5,0.12488184913153122,0.04854250252023554
SPN,Spain3,5,0.14070529413628988,2.5251191800743777,24.636,11.147,14,0.12488184913153122,0.04854250252023554
SPN,Spain4,6,0.4824181513244216,0.46421637565965584,24.636,11.147,3.8,0.12488184913153122,0.04854250252023554
SPN,Spain5,8,0.1969463855669327,0.17993074766147507,24.636,11.147,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain6,8,0.17144660799776537,1.5323251450827609,24.636,11.147,4.9,0.12488184913153122,0.04854250252023554
SPN,Spain7,4,0,1.257020020339436,24.636,11.147,11.9,0.12488184913153122,0.04854250252023554
SPN,Spain8,4,0.33778779739631537,0.1880299088277865,24.636,11.147,4.3,0.12488184913153122,0.04854250252023554
SPN,Spain9,4,0.472581562625261,13.092176209646198,24.636,11.147,4.3,0.12488184913153122,0.04854250252023554
SPN,Spain10,4,0.61775643742078,6.959974851035163,24.636,11.147,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain11,4,0.0999999999999998,6.415089344719972,24.636,11.147,10.6,0.12488184913153122,0.04854250252023554
SPN,Spain12,4,0.5068853125290969,13.961890674564813,24.636,11.147,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain13,3,0.17144660799776537,1.7640873236524293,24.636,11.147,19.5,0.12488184913153122,0.04854250252023554
SPN,Spain14,3,0.14070529413628965,0.8688786051418548,24.636,11.147,17.8,0.12488184913153122,0.04854250252023554
SPN,Spain15,3,0.5198517862772569,16.31233936887753,24.636,11.147,6.9,0.12488184913153122,0.04854250252023554
SPN,Spain16,7,0.403554599789549,0.302027405352166,24.636,11.147,15.8,0.12488184913153122,0.04854250252023554
SPN,Spain17,5,0.17144660799776537,3.186132905619872,24.636,11.147,6.1,0.12488184913153122,0.04854250252023554
SPN,Spain18,4,0,2.352994943261511,24.636,11.147,6.8,0.12488184913153122,0.04854250252023554
SPN,Spain19,6,0,0.9048276313397183,24.636,11.147,2.6,0.12488184913153122,0.04854250252023554
SPN,Spain20,7,0.6521997318207157,0.31495820733749086,24.636,11.147,5.3,0.12488184913153122,0.04854250252023554
SPN,Spain21,2,0,0.07643799252758075,24.636,11.147,1.9,0.12488184913153122,0.04854250252023554
SPN,Spain22,4,0.33311022066314655,0.12278851587358065,24.636,11.147,2.6,0.12488184913153122,0.04854250252023554
KAM,Kam1,5,0,40.65328209976371,38.273,11.376,30,-0.48978529773419016,1.4443256295365199
KAM,Kam2,7,0.5445257069339342,8.122350211491067,38.273,11.376,34,-0.48978529773419016,1.4443256295365199
KAM,Kam3,7,0.745746615613432,0.43036177527044533,38.273,11.376,83,-0.48978529773419016,1.4443256295365199
KAM,Kam4,7,0.27449020864925583,3.145565643810033,38.273,11.376,37,-0.48978529773419016,1.4443256295365199
KAM,Kam5,8,0.5435528463367953,0.4338635228572764,38.273,11.376,78,-0.48978529773419016,1.4443256295365199
KAM,Kam6,6,0,0.06814916593351203,38.273,11.376,97,-0.48978529773419016,1.4443256295365199
KAM,Kam7,8,0.2110495792273309,1.004712187507004,38.273,11.376,22,-0.48978529773419016,1.4443256295365199
KAM,Kam8,9,0.9174429362335922,1.8746583450496694,38.273,11.376,26,-0.48978529773419016,1.4443256295365199
KAM,Kam9,8,0.6921338922488923,132.74017134485092,38.273,11.376,21,-0.48978529773419016,1.4443256295365199
KAM,Kam10,10,0,20.18940143380173,38.273,11.376,29.2,-0.48978529773419016,1.4443256295365199
