Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
KAM;Kam12;7.993;2.180040608;66;25.6;-0.38449362;1.455776296;0.871479047;9.295
SWE;Swed1;2.5;0.006182382;80;8.606;1.611566707;0.091461245;1.261072175;1.21
SWE;Swed3;4.464;124.8593394;20;8.606;1.611566707;0.091461245;1.641935788;1.21
SWE;Swed5;2.5;0.006182382;30;8.606;1.611566707;0.091461245;1.262424226;1.21
SWE;Swed6;2;0.012364763;20;8.606;1.611566707;0.091461245;0.171446608;1.21
SWE;Swed8;4;2.217055718;10;8.606;1.611566707;0.091461245;0.517654733;1.21
SWE;Swed9;5.243;7.596673514;10;8.606;1.611566707;0.091461245;1.722200572;1.21
SWE;Swed10;7;48.70595018;10;8.606;1.611566707;0.091461245;0.149955925;1.21
SWE;Swed13;3;1.09280777;25;8.606;1.611566707;0.091461245;0.291678391;1.21
SWE;Swed19;3;0.294337588;20;8.606;1.611566707;0.091461245;0.460566186;1.21
SWE;Swed20;3;1.925277843;20;8.606;1.611566707;0.091461245;0.622687078;1.21
SWE;Swed21;3;0.238696152;15;8.606;1.611566707;0.091461245;0.499584798;1.21
FRA;Fran1;3;0.273503741;21;18.7;0.971672129;-0.250732004;0.358870281;6.18
FRA;Fran2;4;2.022299327;4;18.7;0.971672129;-0.250732004;0.140705294;6.18
FRA;Fran3;3;0.071230427;17;18.7;0.971672129;-0.250732004;0.575777179;6.18
FRA;Fran4;4;18.45974417;2.5;18.7;0.971672129;-0.250732004;0.287623491;6.18
FRA;Fran5;3;10.80157616;10;18.7;0.971672129;-0.250732004;0;6.18
FRA;Fran6;3;1.328719615;8;18.7;0.971672129;-0.250732004;0.479372485;6.18
FRA;Fran7;4;27.73454353;4;18.7;0.971672129;-0.250732004;0.479372485;6.18
FRA;Fran8;5;2.257363219;11.5;18.7;0.971672129;-0.250732004;0.373545683;6.18
FRA;Fran9;6.246;19.9546323;11.5;18.7;0.971672129;-0.250732004;2.020386798;6.18
FRA;Fran10;7.991;2.43623501;7.5;18.7;0.971672129;-0.250732004;1.861200717;6.18
FRA;Fran11;5.489;2.164827336;7;18.7;0.971672129;-0.250732004;1.311772003;6.18
FRA;Fran12;3;3.694671862;2;18.7;0.971672129;-0.250732004;0.301511345;6.18
FRA;Fran13;4;33.84940163;14;18.7;0.971672129;-0.250732004;0;6.18
FRA;Fran14;3;0.487634202;9.5;18.7;0.971672129;-0.250732004;0.49020713;6.18
FRA;Fran15;4;5.874539908;7;18.7;0.971672129;-0.250732004;0;6.18
FRA;Fran16;5.495;1.206626768;5;18.7;0.971672129;-0.250732004;1.274055398;6.18
FRA;Fran17;5.991;2.53564471;4;18.7;0.971672129;-0.250732004;0.374946403;6.18
FRA;Fran18;3;0.205742622;17;18.7;0.971672129;-0.250732004;0.1;6.18
FRA;Fran19;5;1.226002923;22;18.7;0.971672129;-0.250732004;0.337997669;6.18
FRA;Fran22;6.938;2.284067149;12.5;18.7;0.971672129;-0.250732004;2.107940391;6.18
USA;App1;3;2.664013226;31.5;5;1.722636396;-1.704810037;0.301511345;0.473
USA;App2;2;0.741885806;4;5;1.722636396;-1.704810037;0;0.473
USA;App3;3;18.06453618;3.5;5;1.722636396;-1.704810037;0.337997669;0.473
USA;App4;4;9.297810887;7;5;1.722636396;-1.704810037;0.46637288;0.473
USA;App5;2;0.235548743;23;5;1.722636396;-1.704810037;0;0.473
USA;App6;3;3.590721774;8.5;5;1.722636396;-1.704810037;0.2564324;0.473
USA;App7;2;4.191654802;9;5;1.722636396;-1.704810037;0;0.473
USA;App8;2;0.185471451;9.5;5;1.722636396;-1.704810037;0;0.473
USA;App9;3;13.1227026;7;5;1.722636396;-1.704810037;0;0.473
USA;App10;3;37.90677237;8;5;1.722636396;-1.704810037;0;0.473
USA;App11;2;0.741885806;12.5;5;1.722636396;-1.704810037;0;0.473
USA;App12;3;10.3415289;5.5;5;1.722636396;-1.704810037;0.314466038;0.473
USA;App13;2;0.315301467;9;5;1.722636396;-1.704810037;0;0.473
USA;App14;3;0.441969859;;5;1.722636396;-1.704810037;0.487831731;0.473
USA;App15;2;0.265224175;2;5;1.722636396;-1.704810037;0.238683257;0.473
USA;App16;2;4.265843382;5;5;1.722636396;-1.704810037;0;0.473
USA;App17;2;3.894900479;6;5;1.722636396;-1.704810037;0;0.473
USA;App18;6.995;6.775095296;10.5;5;1.722636396;-1.704810037;2.294441875;0.473
USA;App19;3;8.404847718;11;5;1.722636396;-1.704810037;0;0.473
USA;App20;3;11.48065522;17.5;5;1.722636396;-1.704810037;0.464823199;0.473
USA;App21;3;4.470601654;13.5;5;1.722636396;-1.704810037;0.482418151;0.473
USA;App22;4;11.94702248;7;5;1.722636396;-1.704810037;0.377525168;0.473
USA;App23;3.417;0.838329119;14;5;1.722636396;-1.704810037;1.391569131;0.473
USA;App24;3;0.509118443;42;5;1.722636396;-1.704810037;0.498887652;0.473
KOR;Kor1;4;7.681071524;15;10.969;-0.011807106;-0.093748636;0.1;1.821
KOR;Kor2;3;1.280351157;5.5;10.969;-0.011807106;-0.093748636;0.348735088;1.821
KOR;Kor3;3;3.420952909;24;10.969;-0.011807106;-0.093748636;0.446196043;1.821
KOR;Kor5;3;4.085137328;27.5;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor6;3;0.041621368;37;10.969;-0.011807106;-0.093748636;0.472581563;1.821
KOR;Kor7;2;1.347264349;31;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor8;4;2.516308126;31;10.969;-0.011807106;-0.093748636;0.383014721;1.821
KOR;Kor9;3;3.524979185;17;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor10;4.5;0.038343944;27;10.969;-0.011807106;-0.093748636;1.032985713;1.821
KOR;Kor11;2;0.034675425;25.5;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor12;3;0.124034502;34;10.969;-0.011807106;-0.093748636;0.520389649;1.821
KOR;Kor14;2;0.034675425;32;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor15;3;2.564269873;10;10.969;-0.011807106;-0.093748636;0.368452949;1.821
KOR;Kor16;2;0.007430448;23;10.969;-0.011807106;-0.093748636;0.1;1.821
KOR;Kor17;3;1.523757074;23;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor18;3;0.750207595;24;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor20;2;0.034675425;21;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor21;3;0.875167602;28;10.969;-0.011807106;-0.093748636;0.479372485;1.821
KOR;Kor22;6.246;0.150778487;37;10.969;-0.011807106;-0.093748636;1.531678127;1.821
KOR;Kor23;4;4.86124118;21;10.969;-0.011807106;-0.093748636;0.517419133;1.821
