Passive,Active
Aeolosomata1,Hydrophilus2 L
Aeolosomata2,Hydrophilus3 L
Aeolosomata3,Phaenonotum A
Dero,Berosus1 A
NA,Berosus2 A
NA,Berosus3 A
NA,Berosus4 A
NA,Berosus larva1
NA,Berosus larva2
NA,Hydrochara L
NA,Laccophilus1 A
NA,Laccophilus2 A
NA,Laccophilus5 A
NA,Laccophilus4 A
NA,Laccophilus8 A
NA,Laccophilus3 A
NA,Laccophilus6 A
NA,Laccophilus7 L
NA,Cybister L
NA,Rhantus1 A
NA,Rhantus2 A
NA,Allodessus LnA
NA,Paroster1 L
NA,Paroster2 LnA
NA,Sternopriscus L
NA,Limnichidae A
NA,Dytiscidae1 L
NA,Dytiscidae2 A
NA,Dytiscidae3 A
NA,Dytiscidae4 A
NA,Dytiscidae5 A
NA,Dytiscidae6 A
NA,Dytiscidae L1
NA,Dytiscidae L2
NA,Agabus bipustulatus A
NA,Gerridae
NA,Gerris gibbifer
NA,Elminae A
NA,Laccocoris
NA,Pleidae2
NA,Arrenurus
NA,Ranatra
NA,Orthetrum
NA,Crambidae1
NA,Pyralidae1
NA,Pyralidae2
NA,Argyroneta
NA,Lumbriculidae2
NA,Lumbriculidae
NA,Hirudinea1
NA,Hirudinea2
NA,Amphipoda
NA,Isopoda
NA,Cardiidae
